1.999801630005933976e-03 1.157956303238375433e-04
2.999160202505497461e-03 1.366049191269881917e-04
3.999204990022919674e-03 1.574918935396641079e-04
5.000498107084847856e-03 1.782902306562003322e-04
6.000646481292532843e-03 1.992019995338250985e-04
6.998247310035551894e-03 2.200631255662494794e-04
7.997613655837036359e-03 2.410779826231248179e-04
8.999343886115798719e-03 2.619895874404820700e-04
1.000000000000000021e-02 2.829532744675188755e-04
1.999800777012935779e-02 4.940972271419499795e-04
2.999159844313144252e-02 7.077450997443580308e-04
3.999203830067880883e-02 9.233759453356536577e-04
5.000496400759585347e-02 1.141803214493929608e-03
6.000644433685579926e-02 1.362809738959853577e-03
6.998244922016208514e-02 1.586158886379534930e-03
7.997612291319823596e-02 1.812084704417453018e-03
8.999342350687843106e-02 2.040193272000750523e-03
9.999999999999983902e-02 2.271192325618911177e-03
1.999800777012935016e-01 4.726744416785029837e-03
2.999159844313142309e-01 7.465987169171290141e-03
3.832573894919344415e-01 9.999999999999984596e-03
