m
55.955872,126.00018
2.295883,1.04847
3.03334,1.4174
3.089585,1.44553
3.118133,1.5026
3.174774,1.55886
3.17479,1.58738
3.23146,1.64406
3.259995,1.67261
3.259994,1.70071
3.316223,1.75739
3.316666,1.75781
3.316666,1.81404
3.373321,1.84259
3.372878,1.8707
3.37332,1.89925
3.40145,1.95591
3.42997,1.95592
3.42998,2.01257
3.42999,2.01258
3.4581,2.06923
3.45853,2.09779
3.48665,2.12589
3.48663,2.15445
3.51477,2.2111
3.51518,2.23923
3.51476,2.26776
3.54332,2.29588
3.5433,2.35298
3.57186,2.38109
3.5433,2.40921
3.57141,2.4663
3.59998,2.49441
3.57185,2.52297
3.59996,2.57962
3.59998,2.60774
3.57142,2.6644
3.60039,2.69294
3.59998,2.7215
3.59996,2.77773
3.57142,2.83482
3.59998,2.86293
3.57185,2.89148
3.54331,2.94813
3.57141,2.97626
3.5433,3.03291
3.5152,3.06148
3.51476,3.08957
3.51519,3.14668
3.48665,3.20334
3.4581,3.23145
3.45809,3.25957
3.45854,3.2881
3.40143,3.34521
3.42999,3.40143
3.37331,3.42999
3.40144,3.4581
3.37332,3.51518
3.37332,3.54331
3.34477,3.59997
0.93557,0.99224
