1.060931800170774458e-03 1.640791054553462230e-05
1.613178716658173395e-03 1.903553267585976063e-05
2.597693850797405061e-03 2.438351071141429057e-05
4.429437140927050889e-03 3.281910974334422576e-05
7.700082339565200197e-03 4.877230459663068707e-05
1.338821182369561921e-02 7.806723527694860902e-05
2.817105233832375294e-02 1.486065259412950386e-04
5.815255015986933035e-02 2.692201757907517748e-04
1.223778576970583204e-01 5.384880204478984184e-04
2.048913978171037764e-01 9.516724304570816327e-04
3.921076518937279265e-01 2.000195706271346713e-03
6.565816089453201387e-01 3.714354006994245033e-03
9.439099435071003352e-01 6.247219637195220235e-03
1.187508507899991850e+00 9.755313180342355464e-03
